index,positiveword,counter
282,chivalrous,0
283,chivalry,0
284,civility,0
285,civilize,0
286,clarity,0
287,classic,0
288,classy,0
289,clean,0
290,cleaner,0
291,cleanest,0
292,cleanliness,0
293,cleanly,0
294,clear,0
295,clear-cut,0
296,cleared,0
297,clearer,0
298,clearly,0
299,clears,0
300,clever,0
301,cleverly,0
302,cohere,0
303,coherence,0
304,coherent,0
305,cohesive,0
306,colorful,0
307,comely,0
308,comfort,0
309,comfortable,0
310,comfortably,0
311,comforting,0
312,comfy,0
313,commend,0
314,commendable,0
315,commendably,0
316,commitment,0
317,commodious,0
318,compact,0
319,compactly,0
320,compassion,0
321,compassionate,0
322,compatible,0
323,competitive,0
324,complement,0
325,complementary,0
326,complemented,0
327,complements,0
328,compliant,0
329,compliment,0
330,complimentary,0
331,comprehensive,0
332,conciliate,0
333,conciliatory,0
334,concise,0
335,confidence,0
336,confident,0
337,congenial,0
338,congratulate,0
339,congratulation,0
340,congratulations,0
341,congratulatory,0
342,conscientious,0
343,considerate,0
344,consistent,0
345,consistently,0
346,constructive,0
347,consummate,0
348,contentment,0
349,continuity,0
350,contrasty,0
351,contribution,0
352,convenience,0
353,convenient,0
354,conveniently,0
355,convience,0
356,convienient,0
357,convient,0
358,convincing,0
359,convincingly,0
360,cool,0
361,coolest,0
362,cooperative,0
363,cooperatively,0
364,cornerstone,0
365,correct,0
366,correctly,0
367,cost-effective,0
368,cost-saving,0
369,counter-attack,0
370,counter-attacks,0
371,courage,0
372,courageous,0
373,courageously,0
374,courageousness,0
375,courteous,0
376,courtly,0
377,covenant,0
378,cozy,0
379,creative,0
380,credence,0
381,credible,0
382,crisp,0
383,crisper,0
384,cure,0
385,cure-all,0
386,cushy,0
387,cute,0
388,cuteness,0
389,danke,0
390,danken,0
391,daring,0
392,daringly,0
393,darling,0
394,dashing,0
395,dauntless,0
396,dawn,0
397,dazzle,0
398,dazzled,0
399,dazzling,0
400,dead-cheap,0
401,dead-on,0
402,decency,0
403,decent,0
404,decisive,0
405,decisiveness,0
406,dedicated,0
407,defeat,0
408,defeated,0
409,defeating,0
410,defeats,0
411,defender,0
412,deference,0
413,deft,0
414,deginified,0
415,delectable,0
416,delicacy,0
417,delicate,0
418,delicious,0
419,delight,0
420,delighted,0
421,delightful,0
422,delightfully,0
423,delightfulness,0
424,dependable,0
425,dependably,0
426,deservedly,0
427,deserving,0
428,desirable,0
429,desiring,0
430,desirous,0
431,destiny,0
432,detachable,0
433,devout,0
434,dexterous,0
435,dexterously,0
436,dextrous,0
437,dignified,0
438,dignify,0
439,dignity,0
440,diligence,0
441,diligent,0
442,diligently,0
443,diplomatic,0
444,dirt-cheap,0
445,distinction,0
446,distinctive,0
447,distinguished,0
448,diversified,0
449,divine,0
450,divinely,0
451,dominate,0
452,dominated,0
453,dominates,0
454,dote,0
455,dotingly,0
456,doubtless,0
457,dreamland,0
458,dumbfounded,0
459,dumbfounding,0
460,dummy-proof,0
461,durable,0
462,dynamic,0
463,eager,0
464,eagerly,0
465,eagerness,0
466,earnest,0
467,earnestly,0
468,earnestness,0
469,ease,0
470,eased,0
471,eases,0
472,easier,0
473,easiest,0
474,easiness,0
475,easing,0
476,easy,0
477,easy-to-use,0
478,easygoing,0
479,ebullience,0
480,ebullient,0
481,ebulliently,0
482,ecenomical,0
483,economical,0
484,ecstasies,0
485,ecstasy,0
486,ecstatic,0
487,ecstatically,0
488,edify,0
489,educated,0
490,effective,0
491,effectively,0
492,effectiveness,0
493,effectual,0
494,efficacious,0
495,efficient,0
496,efficiently,0
497,effortless,0
498,effortlessly,0
499,effusion,0
500,effusive,0
501,effusively,0
502,effusiveness,0
503,elan,0
504,elate,0
505,elated,0
506,elatedly,0
507,elation,0
508,electrify,0
509,elegance,0
510,elegant,0
511,elegantly,0
512,elevate,0
513,elite,0
514,eloquence,0
515,eloquent,0
516,eloquently,0
517,embolden,0
518,eminence,0
519,eminent,0
520,empathize,0
521,empathy,0
522,empower,0
523,empowerment,0
524,enchant,0
525,enchanted,0
526,enchanting,0
527,enchantingly,0
528,encourage,0
529,encouragement,0
530,encouraging,0
531,encouragingly,0
532,endear,0
533,endearing,0
534,endorse,0
535,endorsed,0
536,endorsement,0
537,endorses,0
538,endorsing,0
539,energetic,0
540,energize,0
541,energy-efficient,0
542,energy-saving,0
543,engaging,0
544,engrossing,0
545,enhance,0
546,enhanced,0
547,enhancement,0
548,enhances,0
549,enjoy,0
550,enjoyable,0
551,enjoyably,0
552,enjoyed,0
553,enjoying,0
554,enjoyment,0
555,enjoys,0
556,enlighten,0
557,enlightenment,0
558,enliven,0
559,ennoble,0
560,enough,0
561,enrapt,0
562,enrapture,0
563,enraptured,0
564,enrich,0
565,enrichment,0
566,enterprising,0
567,entertain,0
568,entertaining,0
569,entertains,0
570,enthral,0
571,enthrall,0
572,enthralled,0
573,enthuse,0
574,enthusiasm,0
575,enthusiast,0
576,enthusiastic,0
577,enthusiastically,0
578,entice,0
579,enticed,0
580,enticing,0
581,enticingly,0
582,entranced,0
583,entrancing,0
584,entrust,0
585,enviable,0
586,enviably,0
587,envious,0
588,enviously,0
589,enviousness,0
590,envy,0
591,equitable,0
592,ergonomical,0
593,err-free,0
594,erudite,0
595,ethical,0
596,eulogize,0
597,euphoria,0
598,euphoric,0
599,euphorically,0
600,evaluative,0
601,evenly,0
602,eventful,0
603,everlasting,0
604,evocative,0
605,exalt,0
606,exaltation,0
607,exalted,0
608,exaltedly,0
609,exalting,0
610,exaltingly,0
611,examplar,0
612,examplary,0
613,excallent,0
614,exceed,0
615,exceeded,0
616,exceeding,0
617,exceedingly,0
618,exceeds,0
619,excel,0
620,exceled,0
621,excelent,0
622,excellant,0
623,excelled,0
624,excellence,0
625,excellency,0
626,excellent,0
627,excellently,0
628,excels,0
629,exceptional,0
630,exceptionally,0
631,excite,0
632,excited,0
633,excitedly,0
634,excitedness,0
635,excitement,0
636,excites,0
637,exciting,0
638,excitingly,0
639,exellent,0
640,exemplar,0
641,exemplary,0
642,exhilarate,0
643,exhilarating,0
644,exhilaratingly,0
645,exhilaration,0
646,exonerate,0
647,expansive,0
648,expeditiously,0
649,expertly,0
650,exquisite,0
651,exquisitely,0
652,extol,0
653,extoll,0
654,extraordinarily,0
655,extraordinary,0
656,exuberance,0
657,exuberant,0
658,exuberantly,0
659,exult,0
660,exultant,0
661,exultation,0
662,exultingly,0
663,eye-catch,0
664,eye-catching,0
665,eyecatch,0
666,eyecatching,0
667,fabulous,0
668,fabulously,0
669,facilitate,0
670,fair,0
671,fairly,0
672,fairness,0
673,faith,0
674,faithful,0
675,faithfully,0
676,faithfulness,0
677,fame,0
678,famed,0
679,famous,0
680,famously,0
681,fancier,0
682,fancinating,0
683,fancy,0
684,fanfare,0
685,fans,0
686,fantastic,0
687,fantastically,0
688,fascinate,0
689,fascinating,0
690,fascinatingly,0
691,fascination,0
692,fashionable,0
693,fashionably,0
694,fast,0
695,fast-growing,0
696,fast-paced,0
697,faster,0
698,fastest,0
699,fastest-growing,0
700,faultless,0
701,fav,0
702,fave,0
703,favor,0
704,favorable,0
705,favored,0
706,favorite,0
707,favorited,0
708,favour,0
709,fearless,0
710,fearlessly,0
711,feasible,0
712,feasibly,0
713,feat,0
714,feature-rich,0
715,fecilitous,0
716,feisty,0
717,felicitate,0
718,felicitous,0
719,felicity,0
720,fertile,0
721,fervent,0
722,fervently,0
723,fervid,0
724,fervidly,0
725,fervor,0
726,festive,0
727,fidelity,0
728,fiery,0
729,fine,0
730,fine-looking,0
731,finely,0
732,finer,0
733,finest,0
734,firmer,0
735,first-class,0
736,first-in-class,0
737,first-rate,0
738,flashy,0
739,flatter,0
740,flattering,0
741,flatteringly,0
742,flawless,0
743,flawlessly,0
744,flexibility,0
745,flexible,0
746,flourish,0
747,flourishing,0
748,fluent,0
749,flutter,0
750,fond,0
751,fondly,0
752,fondness,0
753,foolproof,0
754,foremost,0
755,foresight,0
756,formidable,0
757,fortitude,0
758,fortuitous,0
759,fortuitously,0
760,fortunate,0
761,fortunately,0
762,fortune,0
763,fragrant,0
764,free,0
765,freed,0
766,freedom,0
767,freedoms,0
768,fresh,0
769,fresher,0
770,freshest,0
771,friendliness,0
772,friendly,0
773,frolic,0
774,frugal,0
775,fruitful,0
776,ftw,0
777,fulfillment,0
778,fun,0
779,futurestic,0
780,futuristic,0
781,gaiety,0
782,gaily,0
783,gain,0
784,gained,0
785,gainful,0
786,gainfully,0
787,gaining,0
788,gains,0
789,gallant,0
790,gallantly,0
791,galore,0
792,geekier,0
793,geeky,0
794,gem,0
795,gems,0
796,generosity,0
797,generous,0
798,generously,0
799,genial,0
800,genius,0
801,gentle,0
802,gentlest,0
803,genuine,0
804,gifted,0
805,glad,0
806,gladden,0
807,gladly,0
808,gladness,0
809,glamorous,0
810,glee,0
811,gleeful,0
812,gleefully,0
813,glimmer,0
814,glimmering,0
815,glisten,0
816,glistening,0
817,glitter,0
818,glitz,0
819,glorify,0
820,glorious,0
821,gloriously,0
822,glory,0
823,glow,0
824,glowing,0
825,glowingly,0
826,god-given,0
827,god-send,0
828,godlike,0
829,godsend,0
830,gold,0
831,golden,0
832,good,0
833,goodly,0
834,goodness,0
835,goodwill,0
836,goood,0
837,gooood,0
838,gorgeous,0
839,gorgeously,0
840,grace,0
841,graceful,0
842,gracefully,0
843,gracious,0
844,graciously,0
845,graciousness,0
846,grand,0
847,grandeur,0
848,grateful,0
849,gratefully,0
850,gratification,0
851,gratified,0
852,gratifies,0
853,gratify,0
854,gratifying,0
855,gratifyingly,0
856,gratitude,0
857,great,0
858,greatest,0
859,greatness,0
860,grin,0
861,groundbreaking,0
862,guarantee,0
863,guidance,0
864,guiltless,0
865,gumption,0
866,gush,0
867,gusto,0
868,gutsy,0
869,hail,0
870,halcyon,0
871,hale,0
872,hallmark,0
873,hallmarks,0
874,hallowed,0
875,handier,0
876,handily,0
877,hands-down,0
878,handsome,0
879,handsomely,0
880,handy,0
881,happier,0
882,happily,0
883,happiness,0
884,happy,0
885,hard-working,0
886,hardier,0
887,hardy,0
888,harmless,0
889,harmonious,0
890,harmoniously,0
891,harmonize,0
892,harmony,0
893,headway,0
894,heal,0
895,healthful,0
896,healthy,0
897,hearten,0
898,heartening,0
899,heartfelt,0
900,heartily,0
901,heartwarming,0
902,heaven,0
903,heavenly,0
904,helped,0
905,helpful,0
906,helping,0
907,hero,0
908,heroic,0
909,heroically,0
910,heroine,0
911,heroize,0
912,heros,0
913,high-quality,0
914,high-spirited,0
915,hilarious,0
916,holy,0
917,homage,0
918,honest,0
919,honesty,0
920,honor,0
921,honorable,0
922,honored,0
923,honoring,0
924,hooray,0
925,hopeful,0
926,hospitable,0
927,hot,0
928,hotcake,0
929,hotcakes,0
930,hottest,0
931,hug,0
932,humane,0
933,humble,0
934,humility,0
935,humor,0
936,humorous,0
937,humorously,0
938,humour,0
939,humourous,0
940,ideal,0
941,idealize,0
942,ideally,0
943,idol,0
944,idolize,0
945,idolized,0
946,idyllic,0
947,illuminate,0
948,illuminati,0
949,illuminating,0
950,illumine,0
951,illustrious,0
952,ilu,0
953,imaculate,0
954,imaginative,0
955,immaculate,0
956,immaculately,0
957,immense,0
958,impartial,0
959,impartiality,0
960,impartially,0
961,impassioned,0
962,impeccable,0
963,impeccably,0
964,important,0
965,impress,0
966,impressed,0
967,impresses,0
968,impressive,0
969,impressively,0
970,impressiveness,0
971,improve,0
972,improved,0
973,improvement,0
974,improvements,0
975,improves,0
976,improving,0
977,incredible,0
978,incredibly,0
979,indebted,0
980,individualized,0
981,indulgence,0
982,indulgent,0
983,industrious,0
984,inestimable,0
985,inestimably,0
986,inexpensive,0
987,infallibility,0
988,infallible,0
989,infallibly,0
990,influential,0
991,ingenious,0
992,ingeniously,0
993,ingenuity,0
994,ingenuous,0
995,ingenuously,0
996,innocuous,0
997,innovation,0
998,innovative,0
999,inpressed,0
1000,insightful,0
1001,insightfully,0
1002,inspiration,0
1003,inspirational,0
1004,inspire,0
1005,inspiring,0
1006,instantly,0
1007,instructive,0
1008,instrumental,0
1009,integral,0
1010,integrated,0
1011,intelligence,0
1012,intelligent,0
1013,intelligible,0
1014,interesting,0
1015,interests,0
1016,intimacy,0
1017,intimate,0
1018,intricate,0
1019,intrigue,0
1020,intriguing,0
1021,intriguingly,0
1022,intuitive,0
1023,invaluable,0
1024,invaluablely,0
1025,inventive,0
1026,invigorate,0
1027,invigorating,0
1028,invincibility,0
1029,invincible,0
1030,inviolable,0
1031,inviolate,0
1032,invulnerable,0
1033,irreplaceable,0
1034,irreproachable,0
1035,irresistible,0
1036,irresistibly,0
1037,issue-free,0
1038,jaw-droping,0
1039,jaw-dropping,0
1040,jollify,0
1041,jolly,0
1042,jovial,0
1043,joy,0
1044,joyful,0
1045,joyfully,0
1046,joyous,0
1047,joyously,0
1048,jubilant,0
1049,jubilantly,0
1050,jubilate,0
1051,jubilation,0
1052,jubiliant,0
1053,judicious,0
1054,justly,0
1055,keen,0
1056,keenly,0
1057,keenness,0
1058,kid-friendly,0
1059,kindliness,0
1060,kindly,0
1061,kindness,0
1062,knowledgeable,0
1063,kudos,0
1064,large-capacity,0
1065,laud,0
1066,laudable,0
1067,laudably,0
1068,lavish,0
1069,lavishly,0
1070,law-abiding,0
1071,lawful,0
1072,lawfully,0
1073,lead,0
1074,leading,0
1075,leads,0
1076,lean,0
1077,led,0
1078,legendary,0
1079,leverage,0
1080,levity,0
1081,liberate,0
1082,liberation,0
1083,liberty,0
1084,lifesaver,0
1085,light-hearted,0
1086,lighter,0
1087,likable,0
1088,like,0
1089,liked,0
1090,likes,0
1091,liking,0
1092,lionhearted,0
1093,lively,0
1094,logical,0
1095,long-lasting,0
1096,lovable,0
1097,lovably,0
1098,love,0
1099,loved,0
1100,loveliness,0
1101,lovely,0
1102,lover,0
1103,loves,0
1104,loving,0
1105,low-cost,0
1106,low-price,0
1107,low-priced,0
1108,low-risk,0
1109,lower-priced,0
1110,loyal,0
1111,loyalty,0
1112,lucid,0
1113,lucidly,0
1114,luck,0
1115,luckier,0
1116,luckiest,0
1117,luckiness,0
1118,lucky,0
1119,lucrative,0
1120,luminous,0
1121,lush,0
1122,luster,0
1123,lustrous,0
1124,luxuriant,0
1125,luxuriate,0
1126,luxurious,0
1127,luxuriously,0
1128,luxury,0
1129,lyrical,0
1130,magic,0
1131,magical,0
1132,magnanimous,0
1133,magnanimously,0
1134,magnificence,0
1135,magnificent,0
1136,magnificently,0
1137,majestic,0
1138,majesty,0
1139,manageable,0
1140,maneuverable,0
1141,marvel,0
1142,marveled,0
1143,marvelled,0
1144,marvellous,0
1145,marvelous,0
1146,marvelously,0
1147,marvelousness,0
1148,marvels,0
1149,master,0
1150,masterful,0
1151,masterfully,0
1152,masterpiece,0
1153,masterpieces,0
1154,masters,0
1155,mastery,0
1156,matchless,0
1157,mature,0
1158,maturely,0
1159,maturity,0
1160,meaningful,0
1161,memorable,0
1162,merciful,0
1163,mercifully,0
1164,mercy,0
1165,merit,0
1166,meritorious,0
1167,merrily,0
1168,merriment,0
1169,merriness,0
1170,merry,0
1171,mesmerize,0
1172,mesmerized,0
1173,mesmerizes,0
1174,mesmerizing,0
1175,mesmerizingly,0
1176,meticulous,0
1177,meticulously,0
1178,mightily,0
1179,mighty,0
1180,mind-blowing,0
1181,miracle,0
1182,miracles,0
1183,miraculous,0
1184,miraculously,0
1185,miraculousness,0
1186,modern,0
1187,modest,0
1188,modesty,0
1189,momentous,0
1190,monumental,0
1191,monumentally,0
1192,morality,0
1193,motivated,0
1194,multi-purpose,0
1195,navigable,0
1196,neat,0
1197,neatest,0
1198,neatly,0
1199,nice,0
1200,nicely,0
1201,nicer,0
1202,nicest,0
1203,nifty,0
1204,nimble,0
1205,noble,0
1206,nobly,0
1207,noiseless,0
1208,non-violence,0
1209,non-violent,0
1210,notably,0
1211,noteworthy,0
1212,nourish,0
1213,nourishing,0
1214,nourishment,0
1215,novelty,0
1216,nurturing,0
1217,oasis,0
1218,obsession,0
1219,obsessions,0
1220,obtainable,0
1221,openly,0
1222,openness,0
1223,optimal,0
1224,optimism,0
1225,optimistic,0
1226,opulent,0
1227,orderly,0
1228,originality,0
1229,outdo,0
1230,outdone,0
1231,outperform,0
1232,outperformed,0
1233,outperforming,0
1234,outperforms,0
1235,outshine,0
1236,outshone,0
1237,outsmart,0
1238,outstanding,0
1239,outstandingly,0
1240,outstrip,0
1241,outwit,0
1242,ovation,0
1243,overjoyed,0
1244,overtake,0
1245,overtaken,0
1246,overtakes,0
1247,overtaking,0
1248,overtook,0
1249,overture,0
1250,pain-free,0
1251,painless,0
1252,painlessly,0
1253,palatial,0
1254,pamper,0
1255,pampered,0
1256,pamperedly,0
1257,pamperedness,0
1258,pampers,0
1259,panoramic,0
1260,paradise,0
1261,paramount,0
1262,pardon,0
1263,passion,0
1264,passionate,0
1265,passionately,0
1266,patience,0
1267,patient,0
1268,patiently,0
1269,patriot,0
1270,patriotic,0
1271,peace,0
1272,peaceable,0
1273,peaceful,0
1274,peacefully,0
1275,peacekeepers,0
1276,peach,0
1277,peerless,0
1278,pep,0
1279,pepped,0
1280,pepping,0
1281,peppy,0
1282,peps,0
1283,perfect,0
1284,perfection,0
1285,perfectly,0
1286,permissible,0
1287,perseverance,0
1288,persevere,0
1289,personages,0
1290,personalized,0
1291,phenomenal,0
1292,phenomenally,0
1293,picturesque,0
1294,piety,0
1295,pinnacle,0
1296,playful,0
1297,playfully,0
1298,pleasant,0
1299,pleasantly,0
1300,pleased,0
1301,pleases,0
1302,pleasing,0
1303,pleasingly,0
1304,pleasurable,0
1305,pleasurably,0
1306,pleasure,0
1307,plentiful,0
1308,pluses,0
1309,plush,0
1310,plusses,0
1311,poetic,0
1312,poeticize,0
1313,poignant,0
1314,poise,0
1315,poised,0
1316,polished,0
1317,polite,0
1318,politeness,0
1319,popular,0
1320,portable,0
1321,posh,0
1322,positive,0
1323,positively,0
1324,positives,0
1325,powerful,0
1326,powerfully,0
1327,praise,0
1328,praiseworthy,0
1329,praising,0
1330,pre-eminent,0
1331,precious,0
1332,precise,0
1333,precisely,0
1334,preeminent,0
1335,prefer,0
1336,preferable,0
1337,preferably,0
1338,prefered,0
1339,preferes,0
1340,preferring,0
1341,prefers,0
1342,premier,0
1343,prestige,0
1344,prestigious,0
1345,prettily,0
1346,pretty,0
1347,priceless,0
1348,pride,0
1349,principled,0
1350,privilege,0
1351,privileged,0
1352,prize,0
1353,proactive,0
1354,problem-free,0
1355,problem-solver,0
1356,prodigious,0
1357,prodigiously,0
1358,prodigy,0
1359,productive,0
1360,productively,0
1361,proficient,0
1362,proficiently,0
1363,profound,0
1364,profoundly,0
1365,profuse,0
1366,profusion,0
1367,progress,0
1368,progressive,0
1369,prolific,0
1370,prominence,0
1371,prominent,0
1372,promise,0
1373,promised,0
1374,promises,0
1375,promising,0
1376,promoter,0
1377,prompt,0
1378,promptly,0
1379,proper,0
1380,properly,0
1381,propitious,0
1382,propitiously,0
1383,pros,0
1384,prosper,0
1385,prosperity,0
1386,prosperous,0
1387,prospros,0
1388,protect,0
1389,protection,0
1390,protective,0
1391,proud,0
1392,proven,0
1393,proves,0
1394,providence,0
1395,proving,0
1396,prowess,0
1397,prudence,0
1398,prudent,0
1399,prudently,0
1400,punctual,0
1401,pure,0
1402,purify,0
1403,purposeful,0
1404,quaint,0
1405,qualified,0
1406,qualify,0
1407,quicker,0
1408,quiet,0
1409,quieter,0
1410,radiance,0
1411,radiant,0
1412,rapid,0
1413,rapport,0
1414,rapt,0
1415,rapture,0
1416,raptureous,0
1417,raptureously,0
1418,rapturous,0
1419,rapturously,0
1420,rational,0
1421,razor-sharp,0
1422,reachable,0
1423,readable,0
1424,readily,0
1425,ready,0
1426,reaffirm,0
1427,reaffirmation,0
1428,realistic,0
1429,realizable,0
1430,reasonable,0
1431,reasonably,0
1432,reasoned,0
1433,reassurance,0
1434,reassure,0
1435,receptive,0
1436,reclaim,0
1437,recomend,0
1438,recommend,0
1439,recommendation,0
1440,recommendations,0
1441,recommended,0
1442,reconcile,0
1443,reconciliation,0
1444,record-setting,0
1445,recover,0
1446,recovery,0
1447,rectification,0
1448,rectify,0
1449,rectifying,0
1450,redeem,0
1451,redeeming,0
1452,redemption,0
1453,refine,0
1454,refined,0
1455,refinement,0
1456,reform,0
1457,reformed,0
1458,reforming,0
1459,reforms,0
1460,refresh,0
1461,refreshed,0
1462,refreshing,0
1463,refund,0
1464,refunded,0
1465,regal,0
1466,regally,0
1467,regard,0
1468,rejoice,0
1469,rejoicing,0
1470,rejoicingly,0
1471,rejuvenate,0
1472,rejuvenated,0
1473,rejuvenating,0
1474,relaxed,0
1475,relent,0
1476,reliable,0
1477,reliably,0
1478,relief,0
1479,relish,0
1480,remarkable,0
1481,remarkably,0
1482,remedy,0
1483,remission,0
1484,remunerate,0
1485,renaissance,0
1486,renewed,0
1487,renown,0
1488,renowned,0
1489,replaceable,0
1490,reputable,0
1491,reputation,0
1492,resilient,0
1493,resolute,0
1494,resound,0
1495,resounding,0
1496,resourceful,0
1497,resourcefulness,0
1498,respect,0
1499,respectable,0
1500,respectful,0
1501,respectfully,0
1502,respite,0
1503,resplendent,0
1504,responsibly,0
1505,responsive,0
1506,restful,0
1507,restored,0
1508,restructure,0
1509,restructured,0
1510,restructuring,0
1511,retractable,0
1512,revel,0
1513,revelation,0
1514,revere,0
1515,reverence,0
1516,reverent,0
1517,reverently,0
1518,revitalize,0
1519,revival,0
1520,revive,0
1521,revives,0
1522,revolutionary,0
1523,revolutionize,0
1524,revolutionized,0
1525,revolutionizes,0
1526,reward,0
1527,rewarding,0
1528,rewardingly,0
1529,rich,0
1530,richer,0
1531,richly,0
1532,richness,0
1533,right,0
1534,righten,0
1535,righteous,0
1536,righteously,0
1537,righteousness,0
1538,rightful,0
1539,rightfully,0
1540,rightly,0
1541,rightness,0
1542,risk-free,0
1543,robust,0
1544,rock-star,0
1545,rock-stars,0
1546,rockstar,0
1547,rockstars,0
1548,romantic,0
1549,romantically,0
1550,romanticize,0
1551,roomier,0
1552,roomy,0
1553,rosy,0
1554,safe,0
1555,safely,0
1556,sagacity,0
1557,sagely,0
1558,saint,0
1559,saintliness,0
1560,saintly,0
1561,salutary,0
1562,salute,0
1563,sane,0
1564,satisfactorily,0
1565,satisfactory,0
1566,satisfied,0
1567,satisfies,0
1568,satisfy,0
1569,satisfying,0
1570,satisified,0
1571,saver,0
1572,savings,0
1573,savior,0
1574,savvy,0
1575,scenic,0
1576,seamless,0
1577,seasoned,0
1578,secure,0
1579,securely,0
1580,selective,0
1581,self-determination,0
1582,self-respect,0
1583,self-satisfaction,0
1584,self-sufficiency,0
1585,self-sufficient,0
1586,sensation,0
1587,sensational,0
1588,sensationally,0
1589,sensations,0
1590,sensible,0
1591,sensibly,0
1592,sensitive,0
1593,serene,0
1594,serenity,0
1595,sexy,0
1596,sharp,0
1597,sharper,0
1598,sharpest,0
1599,shimmering,0
1600,shimmeringly,0
1601,shine,0
1602,shiny,0
1603,significant,0
1604,silent,0
1605,simpler,0
1606,simplest,0
1607,simplified,0
1608,simplifies,0
1609,simplify,0
